,Dropout 0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
0,521.49,513.82,509.63,530.79,568.57
1,180.59,184.46,193.76,212.35,257.85
2,117.99,123.76,134.09,153.58,204.56
3,91.2,98.39,109.62,128.95,182.42
4,74.47,83.64,95.15,115.82,169.64
5,62.65,72.92,84.81,106.87,160.61
6,45.65,64.72,77.41,100.55,155.03
7,40.45,50.97,64.48,94.64,150.33
8,35.76,47.05,60.8,90.77,147.32
9,34.16,44.68,58.82,86.86,144.01
10,33.67,41.29,56.79,83.96,141.27
11,33.51,40.31,54.14,81.33,139.0
12,33.39,39.4,52.87,78.78,130.07
13,33.28,39.3,52.54,76.93,125.23
14,33.25,38.79,51.8,75.11,122.9
15,33.22,38.85,51.26,68.25,120.7
16,33.19,38.71,50.76,65.46,119.03
17,33.17,38.78,50.74,64.23,117.22
18,33.14,38.91,50.32,62.92,115.96
19,33.13,38.8,49.91,61.39,114.9
20,33.13,38.75,49.91,60.56,114.08
21,33.13,38.66,49.68,60.14,112.29
22,33.13,38.71,49.88,60.03,110.95
23,33.13,38.75,49.97,59.42,110.05
24,33.13,38.76,49.84,59.94,110.01
25,33.13,38.81,49.68,59.3,109.16
26,33.13,38.71,49.98,59.36,108.89
27,33.13,38.78,49.85,59.43,108.99
28,33.13,38.78,49.98,59.44,108.87
29,33.13,38.67,49.89,59.52,108.02
30,33.13,38.78,49.66,59.19,107.92
31,33.13,38.71,49.92,59.2,108.0
32,33.13,38.74,49.86,59.28,106.96
33,33.13,38.67,50.1,59.5,106.92
34,33.13,38.8,50.12,59.38,106.51
35,33.13,38.7,49.9,59.58,106.45
36,33.13,38.67,49.77,59.15,106.34
37,33.13,38.8,49.84,59.24,106.28
38,33.13,38.7,49.68,58.95,105.96
39,33.13,38.65,50.09,59.27,106.0
